plant,period
120,103
121,103
122,103
123,103
124,103
125,103
126,103
127,103
128,103
129,103
130,103
131,103
132,103
133,103
134,103
135,103
136,103
137,103
138,103
139,103
140,103
141,103
142,103
0,110
1,110
2,110
3,110
4,110
5,110
6,110
7,110
8,110
9,110
10,110
11,110
12,110
13,110
14,110
15,110
16,110
17,110
18,110
19,110
20,110
21,110
22,110
24,110
25,110
26,110
27,110
28,110
29,110
30,110
31,110
32,110
33,110
34,110
35,110
36,110
37,110
38,110
39,110
40,110
41,110
42,110
43,110
44,110
45,110
46,110
47,110
48,110
48,110
49,110
49,110
49,110
50,110
51,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
52,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
53,110
54,110
55,110
56,110
57,110
58,110
59,110
60,110
61,110
62,110
63,110
64,110
65,110
66,110
67,110
68,110
69,110
70,110
71,110
72,110
73,110
74,110
75,110
76,110
77,110
78,110
79,110
80,110
81,110
82,110
83,110
84,110
85,110
86,110
87,110
88,110
89,110
90,110
91,110
92,110
93,110
94,110
95,110
96,110
97,110
99,110
100,110
101,110
102,110
103,110
104,110
105,110
106,110
107,110
108,110
109,110
110,110
111,110
112,110
113,110
114,110
115,110
116,110
117,110
118,110
119,110
120,110
121,110
122,110
123,110
124,110
125,110
126,110
127,110
128,110
129,110
130,110
131,110
132,110
133,110
134,110
135,110
136,110
137,110
138,110
139,110
140,110
141,110
142,110
47,17
48,17
49,17
49,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
52,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
53,17
57,17
78,17
79,17
47,18
48,18
49,18
49,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
52,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
53,18
57,18
78,18
79,18
47,19
48,19
49,19
49,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
52,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
53,19
57,19
78,19
79,19
